lower_env_broad_scale	sample_count
envo:cropland biome	4856
cropland biome	1550
urban biome	1107
forest	679
tundra biome	524
terrestrial biome	484
soil	356
tundra	347
temperate grassland biome	325
forest biome	275
montane grassland biome	230
temperate forest	211
temperate grassland	197
freshwater biome	193
forest soil	175
hot springs	172
envo:tropical and subtropical moist broadleaf forest biome	166
arctic	164
temperate broadleaf and mixed forests	162
desert	157
desert biome	156
permafrost	149
boreal forest	149
shrubland biome	138
fen	138
tropical shrubland biome	127
tropical moist broadleaf forest biome	123
coniferous forest biome	120
polar desert biome	119
envo:00002988	112
temperate grasslands	109
flooded grassland biome	108
argentinean pampa	108
permafrost biome	98
marine benthic biome	96
large river biome	95
microbial community	90
polar desert	87
sand	81
cotton	72
tundrar biome	68
temperate coniferous forests	67
rainforest	67
spruce forest	64
beech forest	64
grassland biome	58
bacteria	58
marine tidal flow zone	54
arable soil microcosm	51
grassland	49
temperate deciduous forest	48
hyperarid desert	42
arid desert	42
rangeland biome	40
envo:00000876	40
temperate coniferous forest biome	37
anthropogenic terrestrial biome	35
subpolar coniferous forest biome	33
orchard	32
lab experiment	32
temperate woodland biome	31
polar biome	30
terrestrial	27
sub-boreal spruce biogeoclimatic zone	27
temperate grasslands, savannas, and shrubland biome	26
grassland soil	26
bulk soil	25
aquatic biome	25
mezquital valley field soil	24
marine salt marsh biome	24
temperate shrubland biome	23
sclerophyll eucalypt forest	23
montane shrubland biome	23
envo:taiga	23
tropical desert biome	22
peatland	21
marine	21
fusarium	21
agricultural soil	20
pine forest	19
leaf litter	18
envo:tropical and subtropical coniferous forest biome	17
truffle peridium	15
truffle gleba	15
terrestrial soil	15
envo:00000446 (terrestrial)	15
deciduous/broadleaf forest	15
sediment	14
tropical and subtropical grasslands, savannas, and shrubland biome	13
subtropical forest	13
oil-contaminated soil	13
temperate	12
montane grasslands and shrubland biome	12
envo:00000446	12
constructed wetlands	12
ascocarpic soil	12
agricultural rhizosphere	12
rice paddy soils	11
temperate broadleaf and mixed forest biome	10
microorganism	10
mediterranean forest biome	10
shrubland	9
mesocosm with annual plant community	9
forest steppe	9
farmland	9
coniferous forest	9
agricultural	9
tropical and subtropical coniferous forest biome	8
peat soil	8
envo:temperate grasslands, savannas, and shrubland biome	8
crop land	8
arctic tundra	8
arctic peat soil	7
alpine meadow and alpine scrub	7
tropical coniferous forest biome	6
terrestrial biome [envo:00000446]	6
soil bacteria	6
rainforest division	6
plant species: clypeola jonthlaspi	6
plant species: carrichtera annua	6
pasture	6
deyeuxia arundinacea	6
cerrado	6
arid steppe	6
envo:00003009	5
anthropogenic environment	5
tropical grassland biome	4
tropical broadleaf forest biome	4
tropical and subtropical moist broadleaf forest biome	4
temperate desert biome	4
rice paddy	4
ectomycorrhizospheric bulk soil	4
desert soil	4
cryoconite	4
basin	4
test field	3
soil environment	3
ria de aveiro	3
organic field	3
mangroove	3
habitat	3
ectomycorrhizospheric soil	3
ectomycorrhizae	3
dense settlement biome	3
conventional field	3
biome	3
beach sediment	3
bamboo	3
bacterial and archeal community	3
artificial soil	3
alpine meadow	3
temperate urban	2
pig farm (juvenile pig)	2
pig farm (adult pig)	2
not applicable	2
healthy	2
freshwater stream	2
envo:00000883	2
desert and xeric shrubland	2
coastal saline2	2
coastal saline1	2
coastal saline 3	2
bacterial wilt	2
alpine meadow soil	2
